Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),m^2 land use/kg product,Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,m^2 land use/kg product / 100g,GHG Only Label,Combined Label,RED,YELLOW,GREEN
,,R-51295,SQR|TOFU|RoastedCajun 115g,OK - SQUARE MEAL,115.0,322.80287394957986,0.8535705882352941,854.5988235294118,1.1,6.21,280.7,0.74,0.96,5.4,743.13,Yellow,Green,,,TRUE
,,R-51480,SQR|TOFU|RoastedCajun+1,OK - SQUARE MEAL,260.0,495.5393184809304,2.920765778513137,1105.2005003930494,6.12,392.98,190.59,1.12,2.35,151.15,425.08,Green,Green,,,TRUE
,,R-51481,SQR|TOFU|RoastedCajun+2,OK - SQUARE MEAL,405.0,668.2757630122809,4.987960968790979,1355.8021772566872,11.14,779.76,165.01,1.23,2.75,192.53,334.77,Green,Green,,,TRUE
,,R-32742,VEG|ApplePieOvernightOats,OK - VEGETARIAN KITCHEN,345.0,411.1590847763461,1.366375301710432,823.5757959003276,155.37,8793.57,119.18,0.4,45.03,2548.86,238.72,Green,Yellow,,TRUE,
,,R-51020,VEG|BreakfastBiscuit,OK - VEGETARIAN KITCHEN,229.00000000000188,929.9658400000076,4.4588000000000365,1393.6040000000114,70.37,6144.26,406.1,1.95,30.73,2683.08,608.56,Red,Red,TRUE,,
,,R-38586,VEG|EggsBenny,OK - SIDES,342.0000187500047,931.6223389578117,11.628890301183578,1985.9464814012656,146.11,5003.58,272.4,3.4,42.72,1463.04,580.69,Yellow,Yellow,,TRUE,
,,R-41042,VEG|FrenchToast,OK - SIDES,334.70000000000016,770.2922218660312,9.126249284954836,1539.3423779904388,138.45,5139.07,230.14,2.73,41.37,1535.43,459.92,Yellow,Yellow,,TRUE,
Grill AM , Heuvos Ranchos Wrap,R-48488,VEG|Huevos Rancheros,OK - VEGETARIAN KITCHEN,231.00000000000017,568.9354385808475,6.743012821173433,1381.9620169912603,96.8,3514.85,246.29,2.92,41.9,1521.58,598.25,Yellow,Yellow,,TRUE,
,,R-48632,VEG|HuevosRancheros|2 serv,OK - VEGETARIAN KITCHEN,462.00000000000034,1137.870877161695,13.486025642346865,2763.9240339825205,193.6,7029.69,246.29,2.92,41.9,1521.58,598.25,Yellow,Yellow,,TRUE,
,,R-43734,VEG|SavorySteelCutOats,OK - VEGETARIAN KITCHEN,445.0000054400009,604.8833540938241,8.199327787054568,1301.1603522735438,105.29,3284.35,135.93,1.84,23.66,738.06,292.4,Green,Green,,,TRUE
,,R-27273,VEG|Toast|OK Avocado,OK - VEGETARIAN KITCHEN,225.10000000000025,249.91776155001972,2.0161236915097716,509.55734668657965,41.09,1775.94,111.03,0.9,18.25,788.96,226.37,Green,Green,,,TRUE
,,R-50800,VEG|TOAST|Ricotta Butternut,OK- VEGETARIAN KITCHEN FEATURE,195.00000000000023,569.1903598930334,5.635913835327238,958.9763701618591,115.64,5657.46,291.89,2.89,59.3,2901.26,491.78,Yellow,Red,TRUE,,
,,R-49250,GLB|Miso Glazed Eggplant &Tofu,OK - GLOBAL KITCHEN ,562.0,576.1619632309162,3.265097521285894,1021.9355957621723,126.12,1441.36,102.52,0.58,22.44,256.47,181.84,Green,Green,,,TRUE
,,R-28293,GRL|Crispy Chicken Strips,OK - GRILL KITCHEN DAY,352.5000000000016,1244.7581142857211,30.446485714285878,3432.754285714305,98.86,331.61,353.12,8.64,28.05,94.07,973.83,Yellow,Red,TRUE,,
,,R-35655,GRL|Veg Burger|Portobello,OK- VEGETARIAN KITCHEN FEATURE,327.0000000000012,721.685014705567,7.016364502382469,1419.1476808714733,115.41,4937.41,220.7,2.15,35.29,1509.91,433.99,Yellow,Yellow,,TRUE,
,,R-44349,SQR|Chana Masala,OK - SQUARE MEAL,482.00000000000045,680.3805685998711,3.8450992212155137,1919.493387183159,217.89,2548.54,141.16,0.8,45.21,528.74,398.24,Green,Green,,,TRUE
Fresh Fare AM , Black bean bowl,R-27275,VEG|Bowl|Black Bean Breakfast,OK - VEGETARIAN KITCHEN,472.1,928.7023023744865,9.521492572518003,3559.887687446427,111.4,3009.68,196.72,2.02,23.6,637.51,754.05,Yellow,Yellow,,TRUE,
Fresh Fare PM , Dobanjiang Bowl,R-43738,VEG|BOWL|Dobanjiang Noodle ,OK - VEGETARIAN KITCHEN,349.0,490.1029171520463,5.907947485796394,1196.936179760709,91.42,3040.68,140.43,1.69,26.19,871.26,342.96,Green,Green,,,TRUE
Fresh Fare AM , Polenta Bowl,R-35341,VEG|Bowl|Polenta,OK - SIDES,325.0,869.6326399206018,7.803961065689757,1425.9538492247482,74.14,4232.44,267.58,2.4,22.81,1302.29,438.76,Yellow,Yellow,,TRUE,
,,R-47435,VEG|ChanaMasala  ,OK - VEGETARIAN KITCHEN,482.00000000000045,680.3805685998711,3.8450992212155137,1919.493387183159,217.89,2548.54,141.16,0.8,45.21,528.74,398.24,Green,Green,,,TRUE
,,R-50375,VEG|CreamCheeseCucumberToast,OK - VEGETARIAN KITCHEN,201.00000000000017,468.86662791093744,4.952839832311455,650.0027294958119,82.48,3990.04,233.27,2.46,41.03,1985.09,323.38,Yellow,Yellow,,TRUE,
